communication_round,Loss,Accuracy,Time
1,0.5597995145784698,21.97,148.74300169944763
2,0.5163663223787099,32.92,157.70377278327942
3,0.4284981742898756,34.7,180.8728084564209
4,0.3623712433636145,51.42,195.65441846847534
5,0.2845221096255606,50.17,168.28594779968262
6,0.2829813977148821,41.55,165.43099570274353
7,0.26016456718082687,48.77,156.07041478157043
8,0.24751326846264843,53.06,159.78444504737854
9,0.2848285671815161,46.59,168.71995210647583
10,0.3040014633450916,49.78,157.48528575897217
11,0.22868915865165426,55.72,198.58819818496704
12,0.19667273155486428,57.45,153.15727877616882
13,0.24370242719853383,55.15,163.61151385307312
14,0.20789625557635488,50.21,158.93804550170898
15,0.194264221179835,51.47,152.94991898536682
16,0.20734399670494574,61.86,203.23567152023315
17,0.16408291860695,62.67,182.11387395858765
18,0.1987909647939138,60.08,166.31894993782043
19,0.20833627210814454,66.61,186.88481998443604
20,0.21550209664662207,57.86,166.7337522506714
